model,text_corruption,n_pairs,mean_minus_argmax,ci_lo,ci_hi,ci_excludes_zero_above,ci_excludes_zero_below
openai_clip_b32,mask,900,-0.007511217777777778,-0.00854300388888889,-0.006427675777777779,False,True
openai_clip_b32,replace,900,-0.006305822222222222,-0.007656076499999999,-0.004955732416666667,False,True
openai_clip_b32,shuffle,900,-0.030818823333333332,-0.03256950961111111,-0.029174574416666668,False,True
openai_clip_l14,mask,900,-0.011229883333333333,-0.012473082694444443,-0.009931909611111112,False,True
openai_clip_l14,replace,900,-0.009228548888888887,-0.010778687944444445,-0.007621381138888888,False,True
openai_clip_l14,shuffle,900,-0.04405826777777777,-0.04603537944444444,-0.042181418138888885,False,True
openclip_l14_laion2b,mask,900,-0.016423576666666665,-0.018332394749999998,-0.01446989827777778,False,True
openclip_l14_laion2b,replace,900,-0.021960414444444444,-0.02431820525,-0.019586411,False,True
openclip_l14_laion2b,shuffle,900,-0.09206316555555556,-0.09466646169444445,-0.08944636986111111,False,True
pecore_l14_336,mask,900,-0.007038367777777777,-0.008319498527777776,-0.0057653364722222225,False,True
pecore_l14_336,replace,900,-0.011265314444444445,-0.013098825638888888,-0.0095168595,False,True
pecore_l14_336,shuffle,900,-0.05311192333333333,-0.05559853680555556,-0.05063129886111111,False,True
siglip2_so400m_384,mask,900,-0.04195696222222223,-0.04426358013888888,-0.03968262136111111,False,True
siglip2_so400m_384,replace,900,-0.021884336666666667,-0.023846679277777776,-0.019932476555555554,False,True
siglip2_so400m_384,shuffle,900,-0.12032433222222222,-0.12282135280555555,-0.1179622393611111,False,True
