model,text_corruption,text_severity,retention_margin,damage_bleu,bleu,norm_edit_distance,n
openai_clip_b32,mask,1,0.1439400288888889,0.2593073960921417,0.7406926039078582,0.10175491444354458,900
openai_clip_b32,mask,2,0.12724184111111111,0.48365870375197595,0.516341296248024,0.20608330026746588,900
openai_clip_b32,mask,3,0.09835212888888889,0.8057447286973335,0.1942552713026665,0.40260547483356746,900
openai_clip_b32,mask,4,0.06890687888888888,0.9389351086184394,0.06106489138156052,0.5973945251664325,900
openai_clip_b32,mask,5,0.03899475777777778,0.9950839176517325,0.004916082348267413,0.7939166997325341,900
openai_clip_b32,replace,1,0.1377343288888889,0.27193500128052844,0.7280649987194715,0.10175491444354458,900
openai_clip_b32,replace,2,0.11607239555555555,0.49651853094769743,0.5034814690523025,0.20608330026746588,900
openai_clip_b32,replace,3,0.07800096444444445,0.805170789571729,0.1948292104282709,0.40260547483356746,900
openai_clip_b32,replace,4,0.04568421777777778,0.9269787760611964,0.07302122393880353,0.5972556362775436,900
openai_clip_b32,replace,5,0.022422564444444446,0.9702880778986638,0.029711922101336188,0.7938312296470641,900
openai_clip_b32,shuffle,1,0.14955237999999998,0.2374409451754923,0.7625590548245077,0.10400836690542571,900
openai_clip_b32,shuffle,2,0.14786534777777777,0.25001823410441126,0.7499817658955886,0.1109800406675098,900
openai_clip_b32,shuffle,3,0.13714099444444444,0.6139406105492055,0.38605938945079454,0.2958312111366695,900
openai_clip_b32,shuffle,4,0.12784755333333334,0.8226011721113755,0.17739882788862446,0.47512240505489933,900
openai_clip_b32,shuffle,5,0.11993768666666667,0.9082717968039768,0.09172820319602312,0.6472966268296282,900
openai_clip_l14,mask,1,0.16007261555555558,0.2593073960921417,0.7406926039078582,0.10175491444354458,900
openai_clip_l14,mask,2,0.14217405444444445,0.48365870375197595,0.516341296248024,0.20608330026746588,900
openai_clip_l14,mask,3,0.11116035555555555,0.8057447286973335,0.1942552713026665,0.40260547483356746,900
openai_clip_l14,mask,4,0.07795695333333334,0.9389351086184394,0.06106489138156052,0.5973945251664325,900
openai_clip_l14,mask,5,0.04320417333333333,0.9950839176517325,0.004916082348267413,0.7939166997325341,900
openai_clip_l14,replace,1,0.15429620333333333,0.27193500128052844,0.7280649987194715,0.10175491444354458,900
openai_clip_l14,replace,2,0.1297018311111111,0.49651853094769743,0.5034814690523025,0.20608330026746588,900
openai_clip_l14,replace,3,0.08921253,0.805170789571729,0.1948292104282709,0.40260547483356746,900
openai_clip_l14,replace,4,0.05347727222222222,0.9269787760611964,0.07302122393880353,0.5972556362775436,900
openai_clip_l14,replace,5,0.02490292222222222,0.9702880778986638,0.029711922101336188,0.7938312296470641,900
openai_clip_l14,shuffle,1,0.16646282111111113,0.2374409451754923,0.7625590548245077,0.10400836690542571,900
openai_clip_l14,shuffle,2,0.16485114111111113,0.25001823410441126,0.7499817658955886,0.1109800406675098,900
openai_clip_l14,shuffle,3,0.15265005666666667,0.6139406105492055,0.38605938945079454,0.2958312111366695,900
openai_clip_l14,shuffle,4,0.14252013555555557,0.8226011721113755,0.17739882788862446,0.47512240505489933,900
openai_clip_l14,shuffle,5,0.13232840777777777,0.9082717968039768,0.09172820319602312,0.6472966268296282,900
openclip_l14_laion2b,mask,1,0.2675449688888889,0.2593073960921417,0.7406926039078582,0.10175491444354458,900
openclip_l14_laion2b,mask,2,0.24358081888888888,0.48365870375197595,0.516341296248024,0.20608330026746588,900
openclip_l14_laion2b,mask,3,0.1950095877777778,0.8057447286973335,0.1942552713026665,0.40260547483356746,900
openclip_l14_laion2b,mask,4,0.13926891444444445,0.9389351086184394,0.06106489138156052,0.5973945251664325,900
openclip_l14_laion2b,mask,5,0.07600327333333333,0.9950839176517325,0.004916082348267413,0.7939166997325341,900
openclip_l14_laion2b,replace,1,0.24918282888888887,0.27193500128052844,0.7280649987194715,0.10175491444354458,900
openclip_l14_laion2b,replace,2,0.21199614111111112,0.49651853094769743,0.5034814690523025,0.20608330026746588,900
openclip_l14_laion2b,replace,3,0.14870897555555554,0.805170789571729,0.1948292104282709,0.40260547483356746,900
openclip_l14_laion2b,replace,4,0.08919136555555555,0.9269787760611964,0.07302122393880353,0.5972556362775436,900
openclip_l14_laion2b,replace,5,0.04378777111111111,0.9702880778986638,0.029711922101336188,0.7938312296470641,900
openclip_l14_laion2b,shuffle,1,0.2771316188888889,0.2374409451754923,0.7625590548245077,0.10400836690542571,900
openclip_l14_laion2b,shuffle,2,0.27513165333333334,0.25001823410441126,0.7499817658955886,0.1109800406675098,900
openclip_l14_laion2b,shuffle,3,0.26149614666666665,0.6139406105492055,0.38605938945079454,0.2958312111366695,900
openclip_l14_laion2b,shuffle,4,0.24931531555555556,0.8226011721113755,0.17739882788862446,0.47512240505489933,900
openclip_l14_laion2b,shuffle,5,0.23560787666666666,0.9082717968039768,0.09172820319602312,0.6472966268296282,900
pecore_l14_336,mask,1,0.21560226333333332,0.2593073960921417,0.7406926039078582,0.10175491444354458,900
pecore_l14_336,mask,2,0.19604977333333332,0.48365870375197595,0.516341296248024,0.20608330026746588,900
pecore_l14_336,mask,3,0.15598963444444444,0.8057447286973335,0.1942552713026665,0.40260547483356746,900
pecore_l14_336,mask,4,0.11144394222222222,0.9389351086184394,0.06106489138156052,0.5973945251664325,900
pecore_l14_336,mask,5,0.06556981444444444,0.9950839176517325,0.004916082348267413,0.7939166997325341,900
pecore_l14_336,replace,1,0.20167897999999998,0.27193500128052844,0.7280649987194715,0.10175491444354458,900
pecore_l14_336,replace,2,0.16889815444444445,0.49651853094769743,0.5034814690523025,0.20608330026746588,900
pecore_l14_336,replace,3,0.11536690444444445,0.805170789571729,0.1948292104282709,0.40260547483356746,900
