modality,corruption_type,severity,metric,mean,ci_lo,ci_hi,n
image,cutout,1,ssim,0.9461708043188214,0.9459605586709869,0.9464089555208195,900
image,cutout,1,psnr,19.74916670412752,19.520520266459304,19.97893625787726,900
image,cutout,1,damage_ssim,0.053829195681178735,0.053591044479180415,0.05403944132901305,900
image,cutout,2,ssim,0.8943903102076272,0.8940775173915226,0.8947618732239951,900
image,cutout,2,psnr,16.620541413468874,16.409433315779665,16.85383336472966,900
image,cutout,2,damage_ssim,0.10560968979237281,0.10523812677600466,0.10592248260847732,900
image,cutout,3,ssim,0.791083597652825,0.7906035837477401,0.7915991453223503,900
image,cutout,3,psnr,13.214733854617839,13.05911593035137,13.373778019681293,900
image,cutout,3,damage_ssim,0.208916402347175,0.20840085467764982,0.2093964162522599,900
image,cutout,4,ssim,0.6378604126593207,0.6369390034319723,0.638939872681929,900
image,cutout,4,psnr,10.648275092787229,10.512287872114358,10.792030170366345,900
image,cutout,4,damage_ssim,0.36213958734067925,0.36106012731807097,0.36306099656802776,900
image,cutout,5,ssim,0.485612840552254,0.4843252404528371,0.48707120168229445,900
image,cutout,5,psnr,9.01137257989291,8.882648598981714,9.141093758480688,900
image,cutout,5,damage_ssim,0.5143871594477459,0.5129287983177055,0.5156747595471628,900
image,gaussian_blur,1,ssim,0.974629751956657,0.9735886571162309,0.9756357805679177,900
image,gaussian_blur,1,psnr,35.48775439586864,35.22523832230011,35.76496373414106,900
image,gaussian_blur,1,damage_ssim,0.025370248043342807,0.02436421943208225,0.02641134288376901,900
image,gaussian_blur,2,ssim,0.8302301261794828,0.8247239399828692,0.8358069980381958,900
image,gaussian_blur,2,psnr,27.600374594631763,27.367698062950108,27.844588718417953,900
image,gaussian_blur,2,damage_ssim,0.16976987382051714,0.16419300196180417,0.17527606001713095,900
image,gaussian_blur,3,ssim,0.672517310217806,0.6635472804884851,0.6817487732338702,900
image,gaussian_blur,3,psnr,24.276318385727855,24.062887840872673,24.495791038996547,900
image,gaussian_blur,3,damage_ssim,0.327482689782194,0.3182512267661296,0.3364527195115148,900
image,gaussian_blur,4,ssim,0.5711863095945311,0.5611496393948965,0.5815276177413508,900
image,gaussian_blur,4,psnr,22.452889855286024,22.259161882823435,22.65525676798429,900
image,gaussian_blur,4,damage_ssim,0.428813690405469,0.41847238225864913,0.43885036060510346,900
image,gaussian_blur,5,ssim,0.5232607430351637,0.5128643150521585,0.5340746466536129,900
image,gaussian_blur,5,psnr,21.42337366620449,21.230502144465294,21.615405684879725,900
image,gaussian_blur,5,damage_ssim,0.4767392569648363,0.465925353346387,0.4871356849478415,900
image,gaussian_noise,1,ssim,0.7645414119055992,0.7589985846028358,0.7698707869414217,900
image,gaussian_noise,1,psnr,30.240256434391316,30.226948915011246,30.255626096858563,900
image,gaussian_noise,1,damage_ssim,0.23545858809440068,0.23012921305857817,0.24100141539716438,900
image,gaussian_noise,2,ssim,0.5375177438619271,0.5293997541120079,0.5456851134451453,900
image,gaussian_noise,2,psnr,24.37376219217094,24.355841355118,24.3917772434365,900
image,gaussian_noise,2,damage_ssim,0.4624822561380729,0.4543148865548548,0.470600245887992,900
image,gaussian_noise,3,ssim,0.40478774971476955,0.3966774259324957,0.4130005805046309,900
image,gaussian_noise,3,psnr,21.00048676788988,20.97943629255887,21.021152508890854,900
image,gaussian_noise,3,damage_ssim,0.5952122502852303,0.586999419495369,0.6033225740675041,900
image,gaussian_noise,4,ssim,0.26185454858678264,0.2548557714730917,0.2688963740377126,900
image,gaussian_noise,4,psnr,16.880327157210623,16.85599905368461,16.904586632222482,900
image,gaussian_noise,4,damage_ssim,0.7381454514132174,0.7311036259622874,0.7451442285269083,900
image,gaussian_noise,5,ssim,0.16156164619758046,0.15666333390542972,0.16660656508439556,900
image,gaussian_noise,5,psnr,13.341558604242064,13.318913208118554,13.364918856992748,900
image,gaussian_noise,5,damage_ssim,0.8384383538024195,0.8333934349156045,0.8433366660945703,900
text,mask,1,norm_edit_distance,0.10175491444354459,0.10081865781729939,0.10276338307088043,900
text,mask,1,bleu,0.7406926039078583,0.7341371914544108,0.7470201903142146,900
text,mask,1,damage_bleu,0.2593073960921417,0.2529798096857854,0.2658628085455892,900
text,mask,2,norm_edit_distance,0.20608330026746594,0.20442902480198044,0.20776744802547342,900
text,mask,2,bleu,0.516341296248024,0.5062455036789597,0.5262379838576202,900
text,mask,2,damage_bleu,0.48365870375197584,0.4737620161423797,0.4937544963210403,900
text,mask,3,norm_edit_distance,0.40260547483356746,0.4007778087707873,0.4045339572822545,900
text,mask,3,bleu,0.1942552713026665,0.1870189879249733,0.20166058654629704,900
text,mask,3,damage_bleu,0.8057447286973335,0.798339413453703,0.8129810120750267,900
text,mask,4,norm_edit_distance,0.5973945251664324,0.5954660427177454,0.5992221912292126,900
text,mask,4,bleu,0.06106489138156052,0.05840711154777994,0.06394093596164074,900
text,mask,4,damage_bleu,0.9389351086184393,0.9360590640383591,0.9415928884522199,900
text,mask,5,norm_edit_distance,0.7939166997325342,0.7922325519745267,0.7955709751980197,900
text,mask,5,bleu,0.004916082348267414,0.004706725679182029,0.005140129626207048,900
text,mask,5,damage_bleu,0.9950839176517324,0.9948598703737928,0.9952932743208179,900
text,replace,1,norm_edit_distance,0.10175491444354459,0.10081865781729939,0.10276338307088043,900
text,replace,1,bleu,0.7280649987194715,0.7214931661527402,0.7344196803850395,900
text,replace,1,damage_bleu,0.27193500128052844,0.2655803196149604,0.2785068338472598,900
text,replace,2,norm_edit_distance,0.20608330026746594,0.20442902480198044,0.20776744802547342,900
text,replace,2,bleu,0.5034814690523025,0.4937148638911301,0.5133162767243248,900
text,replace,2,damage_bleu,0.49651853094769743,0.48668372327567516,0.5062851361088698,900
text,replace,3,norm_edit_distance,0.40260547483356746,0.4007778087707873,0.4045339572822545,900
text,replace,3,bleu,0.19482921042827087,0.18749578251221657,0.20210768582769817,900
text,replace,3,damage_bleu,0.805170789571729,0.7978923141723018,0.8125042174877833,900
text,replace,4,norm_edit_distance,0.5972556362775435,0.5953121220093415,0.5990754396366555,900
text,replace,4,bleu,0.07302122393880353,0.06989184824459016,0.0762946720620018,900
text,replace,4,damage_bleu,0.9269787760611964,0.9237053279379982,0.9301081517554098,900
text,replace,5,norm_edit_distance,0.7938312296470641,0.7921470818890566,0.7955013680929905,900
text,replace,5,bleu,0.029711922101336188,0.029086811344251447,0.03038711305873367,900
text,replace,5,damage_bleu,0.9702880778986638,0.9696128869412663,0.9709131886557486,900
text,shuffle,1,norm_edit_distance,0.10400836690542573,0.09665597517950458,0.11100164658326421,900
text,shuffle,1,bleu,0.7625590548245077,0.7456987157578822,0.7797550721494201,900
text,shuffle,1,damage_bleu,0.2374409451754923,0.2202449278505799,0.2543012842421178,900
text,shuffle,2,norm_edit_distance,0.1109800406675098,0.10421460751136108,0.11751558334226875,900
text,shuffle,2,bleu,0.7499817658955887,0.7336825868656021,0.7657368392138897,900
text,shuffle,2,damage_bleu,0.25001823410441126,0.23426316078611029,0.2663174131343979,900
text,shuffle,3,norm_edit_distance,0.2958312111366695,0.2891630105481273,0.30322667053916746,900
text,shuffle,3,bleu,0.38605938945079454,0.3697658781490277,0.4012999406420243,900
text,shuffle,3,damage_bleu,0.6139406105492055,0.5987000593579757,0.6302341218509723,900
text,shuffle,4,norm_edit_distance,0.47512240505489933,0.46749161206070194,0.48211037007629753,900
text,shuffle,4,bleu,0.1773988278886245,0.16748844150681844,0.18757281053480768,900
text,shuffle,4,damage_bleu,0.8226011721113755,0.8124271894651923,0.8325115584931816,900
text,shuffle,5,norm_edit_distance,0.647296626829628,0.6390869008560773,0.6554024483297511,900
text,shuffle,5,bleu,0.09172820319602311,0.08642945370093731,0.09769378016107472,900
text,shuffle,5,damage_bleu,0.9082717968039768,0.9023062198389253,0.9135705462990624,900
