model,quintile,i2t,i2t_lo,i2t_hi,t2i,t2i_lo,t2i_hi,i2t_n,t2i_n
openai_clip_b32,Q1,0.5176666666666667,0.5071616474246916,0.5283347436656894,0.4383844981493577,0.4261841522797698,0.45053227687023073,9000,9186
openai_clip_b32,Q2,0.4851111111111111,0.4725346862512184,0.49767516235640485,0.3757918552036199,0.3647058823529412,0.38708726609742494,9000,8840
openai_clip_b32,Q3,0.4563333333333333,0.4451158106747231,0.46758934196628554,0.3050210130502101,0.29186840645112194,0.31916120962788436,9000,9042
openai_clip_b32,Q4,0.439,0.4271263277233187,0.45060460963461424,0.23498349834983498,0.2241060754265841,0.24551725016241907,9000,9090
openai_clip_b32,Q5,0.27566666666666667,0.26215629799454093,0.2894549067195697,0.08323908617959738,0.07166123916108225,0.09468796013138521,9000,8842
openai_clip_l14,Q1,0.5551111111111111,0.5418863437820716,0.567963192937622,0.47779229261920314,0.46482801413248687,0.49159860718780235,9000,9186
openai_clip_l14,Q2,0.5428888888888889,0.525994707335141,0.56220951255561,0.4085972850678733,0.3969131242120645,0.41977246349856223,9000,8840
openai_clip_l14,Q3,0.5168888888888888,0.5042188450281834,0.5294099021126466,0.33466047334660476,0.32367648550281714,0.3454348659754446,9000,9042
openai_clip_l14,Q4,0.5004444444444445,0.48811322496929826,0.5130805099389552,0.2548954895489549,0.2421475926529725,0.26729426991101973,9000,9090
openai_clip_l14,Q5,0.3221111111111111,0.30612926110066985,0.33981893391232126,0.09081655733996834,0.08085106851629847,0.09984983097541518,9000,8842
openclip_l14_laion2b,Q1,0.636,0.622471416007036,0.649013736574742,0.5960156760287394,0.5848433607189139,0.6070539225374005,9000,9186
openclip_l14_laion2b,Q2,0.637,0.6210538141781822,0.6510312707917499,0.5235294117647059,0.5124810977094465,0.534581626303787,9000,8840
openclip_l14_laion2b,Q3,0.6124444444444445,0.6012705536951631,0.6237544944515998,0.42977217429772174,0.41372287682092596,0.4458997599171289,9000,9042
openclip_l14_laion2b,Q4,0.5668888888888889,0.5513291068846625,0.5810608061206292,0.34004400440044,0.32761291446177754,0.35266878661029316,9000,9090
openclip_l14_laion2b,Q5,0.3768888888888889,0.36533864822357,0.38791503030218394,0.12508482243836236,0.11482221111617723,0.13473459797243767,9000,8842
siglip2_so400m_384,Q1,0.6897777777777778,0.6795575627194059,0.7000958345627121,0.6676464184628783,0.6545831574327935,0.6813483384152513,9000,9186
siglip2_so400m_384,Q2,0.689,0.6779924212507772,0.6997119035718026,0.6057692307692307,0.5948017116451456,0.6170308123249301,9000,8840
siglip2_so400m_384,Q3,0.6641111111111111,0.6530786867946364,0.6749310771113997,0.4969033399690334,0.48120429353210675,0.5134023656221297,9000,9042
siglip2_so400m_384,Q4,0.6425555555555555,0.6296176535607385,0.6544150110375275,0.3968096809680968,0.3724692768412891,0.41864162689439305,9000,9090
siglip2_so400m_384,Q5,0.49855555555555553,0.48795282095947695,0.5092471815904803,0.14498982130739652,0.13537132736829743,0.15472769781432727,9000,8842
pecore_l14_336,Q1,0.6995555555555556,0.6868658400201652,0.7131849176004867,0.6553450903548879,0.6326119023880813,0.6778752191363868,9000,9186
pecore_l14_336,Q2,0.6983333333333334,0.6850457443507256,0.7124858421028222,0.5849547511312218,0.5673615718966082,0.6039215686274509,9000,8840
pecore_l14_336,Q3,0.6928888888888889,0.678474158751723,0.7066129573682444,0.49767750497677504,0.485554149941522,0.5097743251582905,9000,9042
pecore_l14_336,Q4,0.6694444444444444,0.6516070527263584,0.6849811551699512,0.3940594059405941,0.37928424782195713,0.4101709565018834,9000,9090
pecore_l14_336,Q5,0.5507777777777778,0.5388851335590419,0.5623683196837062,0.14272788961773356,0.1338310721313174,0.15141406742621472,9000,8842
