model,quintile,i2t,i2t_lo,i2t_hi,t2i,t2i_lo,t2i_hi,i2t_n,t2i_n
openai_clip_b32,Q1,0.49033333333333334,0.48002459897765837,0.5007806823013039,0.4383844981493577,0.4261841522797698,0.45053227687023073,9000,9186
openai_clip_b32,Q2,0.44455555555555554,0.4342544997941091,0.45497682583969384,0.3757918552036199,0.3647058823529412,0.38708726609742494,9000,8840
openai_clip_b32,Q3,0.40839906677035887,0.3962217920013807,0.42120063580908357,0.3050210130502101,0.29186840645112194,0.31916120962788436,9001,9042
openai_clip_b32,Q4,0.3593732636959662,0.3487422681327764,0.37000117382490044,0.23498349834983498,0.2241060754265841,0.24551725016241907,8999,9090
openai_clip_b32,Q5,0.4711111111111111,0.4592487590913405,0.4823361242547136,0.08323908617959738,0.07166123916108225,0.09468796013138521,9000,8842
openai_clip_l14,Q1,0.528,0.5157251191234382,0.539708985893591,0.47779229261920314,0.46482801413248687,0.49159860718780235,9000,9186
openai_clip_l14,Q2,0.4855555555555556,0.46920059879376574,0.5012741469435896,0.4085972850678733,0.3969131242120645,0.41977246349856223,9000,8840
openai_clip_l14,Q3,0.4611709810021109,0.4447405639809687,0.4786791514047794,0.33466047334660476,0.32367648550281714,0.3454348659754446,9001,9042
openai_clip_l14,Q4,0.43604844982775864,0.4163787380677671,0.4547151349486459,0.2548954895489549,0.2421475926529725,0.26729426991101973,8999,9090
openai_clip_l14,Q5,0.5266666666666666,0.5122140795025538,0.5407038576368215,0.09081655733996834,0.08085106851629847,0.09984983097541518,9000,8842
openclip_l14_laion2b,Q1,0.6195555555555555,0.6056798459112741,0.6339952942289712,0.5960156760287394,0.5848433607189139,0.6070539225374005,9000,9186
openclip_l14_laion2b,Q2,0.5762222222222222,0.565262229839217,0.5869977568003296,0.5235294117647059,0.5124810977094465,0.534581626303787,9000,8840
openclip_l14_laion2b,Q3,0.5386068214642817,0.5250472064867266,0.552045813366669,0.42977217429772174,0.41372287682092596,0.4458997599171289,9001,9042
openclip_l14_laion2b,Q4,0.500166685187243,0.48499415207054625,0.5143244037594397,0.34004400440044,0.32761291446177754,0.35266878661029316,8999,9090
openclip_l14_laion2b,Q5,0.5946666666666667,0.5826054431119997,0.6060413521080865,0.12508482243836236,0.11482221111617723,0.13473459797243767,9000,8842
siglip2_so400m_384,Q1,0.677,0.6661611047941696,0.6878521528970044,0.6676464184628783,0.6545831574327935,0.6813483384152513,9000,9186
siglip2_so400m_384,Q2,0.6333333333333333,0.6230124285153447,0.6437401295189688,0.6057692307692307,0.5948017116451456,0.6170308123249301,9000,8840
siglip2_so400m_384,Q3,0.6217086990334407,0.6098042016490449,0.6334932055466814,0.4969033399690334,0.48120429353210675,0.5134023656221297,9001,9042
siglip2_so400m_384,Q4,0.580731192354706,0.5701972247411624,0.5910562240360121,0.3968096809680968,0.3724692768412891,0.41864162689439305,8999,9090
siglip2_so400m_384,Q5,0.6712222222222223,0.6579574471833101,0.684818591067708,0.14498982130739652,0.13537132736829743,0.15472769781432727,9000,8842
pecore_l14_336,Q1,0.6968888888888889,0.6841268606727227,0.7087814507384578,0.6553450903548879,0.6326119023880813,0.6778752191363868,9000,9186
pecore_l14_336,Q2,0.6682222222222223,0.6556218246079081,0.6815521149661468,0.5849547511312218,0.5673615718966082,0.6039215686274509,9000,8840
pecore_l14_336,Q3,0.6471503166314854,0.6326315103413647,0.661624649859944,0.49767750497677504,0.485554149941522,0.5097743251582905,9001,9042
pecore_l14_336,Q4,0.6142904767196355,0.6006459680138613,0.6285102430382344,0.3940594059405941,0.37928424782195713,0.4101709565018834,8999,9090
pecore_l14_336,Q5,0.6844444444444444,0.6693218276358004,0.6984926892215165,0.14272788961773356,0.1338310721313174,0.15141406742621472,9000,8842
