model,metric,vision_corruption,image_severity,text_corruption,text_severity,seed_a,seed_b,spearman_rho,p,n
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,0,1,-0.05871082250386328,0.06347092539904854,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,0,2,-0.02145933161720378,0.4978776103289582,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,1,2,-0.07939554913316181,0.012020800760224193,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,0,1,-0.041831304675802254,0.1862527173400996,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,0,2,-0.021660322719796243,0.49385953904630364,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,1,2,0.035477702938872466,0.2623503792050112,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,0,1,-0.027411596896246997,0.3865398740784928,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,0,2,0.062228762463075994,0.04914956957034368,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,1,2,-0.006048146962779055,0.84850856407452,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,0,1,0.05524713288902948,0.08077335272976789,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,0,2,-0.011992802177368022,0.704847530283669,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,1,2,0.040630870506320735,0.1992175155910135,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,0,1,0.017771300301158737,0.5745798805346654,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,0,2,0.027994021384488286,0.37652630520582414,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,1,2,-0.02488656004430749,0.43179743085831035,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,1,-0.05907320817481743,0.061852260528109444,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,2,-0.017067784590617027,0.5898213365791893,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,1,2,-0.06476852804778518,0.040584561686083084,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,1,-0.026939211142900522,0.3947795648644786,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,2,-0.017006027644454035,0.5911681175727733,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,1,2,-0.0826757551261184,0.008905883908231911,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,1,0.029650733586974072,0.34892743508804513,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,2,-0.00039616004992839557,0.990017118766351,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,1,2,-0.07047114830973594,0.02584871237731131,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,1,0.01577309149071629,0.6183458346287615,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,2,0.04693095727855313,0.13806160422777838,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,1,2,-0.052740157696268025,0.09554136484268656,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,1,0.050160199643169125,0.11291662432712508,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,2,-0.01655532965437119,0.6010392911607656,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,1,2,-0.030949910418125625,0.3282067803584595,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,1,-0.025954177617782615,0.4122989166511808,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,2,-0.0027113314402143394,0.9317583638590127,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,1,2,-0.06611848838501043,0.03657084518807435,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,1,-0.02584577365000927,0.4142546577238279,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,2,0.006728828502419761,0.8317009762546708,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,1,2,-0.04634976995680838,0.14301304162213477,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,1,-0.0024095665269110345,0.9393379544326724,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,2,0.01976537634432768,0.5324205226589619,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,1,2,-0.06673192220665092,0.034861664682932184,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,1,-0.00991447889122929,0.7541751230502528,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,2,-0.004486171306912546,0.8873260807391903,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,1,2,-0.04992448248779624,0.11462073254869712,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,1,0.00025046734632805666,0.9936883467320494,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,2,-0.02956934669594375,0.3502525225140054,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,1,2,-0.07795016048103982,0.013675728094716705,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,0,1,0.010429389037129446,0.7418513249852253,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,0,2,-0.007296685978945108,0.8177374925410593,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,1,2,0.054649824280097056,0.08411224713018405,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,0,1,-0.010613672166766713,0.7374565399245132,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,0,2,-0.07068910870620414,0.025391959667773165,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,1,2,0.029859631261454984,0.3455408779044698,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,0,1,-0.058589131186223393,0.06402225932118948,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,0,2,0.006725836005944192,0.8317747058489535,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,1,2,-0.021390680185780463,0.49925401050435053,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,0,1,-0.027422121375725056,0.38635750013221065,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,0,2,-0.05490935997090277,0.08264801293206567,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,1,2,-0.025976754951071525,0.41189228258311505,1000
