
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
   image          cutout         1               ssim  0.9462  0.9460  0.9464 900
   image          cutout         1               psnr 19.7492 19.5205 19.9789 900
   image          cutout         1        damage_ssim  0.0538  0.0536  0.0540 900
   image          cutout         2               ssim  0.8944  0.8941  0.8948 900
   image          cutout         2               psnr 16.6205 16.4094 16.8538 900
   image          cutout         2        damage_ssim  0.1056  0.1052  0.1059 900
   image          cutout         3               ssim  0.7911  0.7906  0.7916 900
   image          cutout         3               psnr 13.2147 13.0591 13.3738 900
   image          cutout         3        damage_ssim  0.2089  0.2084  0.2094 900
   image          cutout         4               ssim  0.6379  0.6369  0.6389 900
   image          cutout         4               psnr 10.6483 10.5123 10.7920 900
   image          cutout         4        damage_ssim  0.3621  0.3611  0.3631 900
   image          cutout         5               ssim  0.4856  0.4843  0.4871 900
   image          cutout         5               psnr  9.0114  8.8826  9.1411 900
   image          cutout         5        damage_ssim  0.5144  0.5129  0.5157 900
   image   gaussian_blur         1               ssim  0.9746  0.9736  0.9756 900
   image   gaussian_blur         1               psnr 35.4878 35.2252 35.7650 900
   image   gaussian_blur         1        damage_ssim  0.0254  0.0244  0.0264 900
   image   gaussian_blur         2               ssim  0.8302  0.8247  0.8358 900
   image   gaussian_blur         2               psnr 27.6004 27.3677 27.8446 900
   image   gaussian_blur         2        damage_ssim  0.1698  0.1642  0.1753 900
   image   gaussian_blur         3               ssim  0.6725  0.6635  0.6817 900
   image   gaussian_blur         3               psnr 24.2763 24.0629 24.4958 900
   image   gaussian_blur         3        damage_ssim  0.3275  0.3183  0.3365 900
   image   gaussian_blur         4               ssim  0.5712  0.5611  0.5815 900
   image   gaussian_blur         4               psnr 22.4529 22.2592 22.6553 900
   image   gaussian_blur         4        damage_ssim  0.4288  0.4185  0.4389 900
   image   gaussian_blur         5               ssim  0.5233  0.5129  0.5341 900
   image   gaussian_blur         5               psnr 21.4234 21.2305 21.6154 900
   image   gaussian_blur         5        damage_ssim  0.4767  0.4659  0.4871 900
   image  gaussian_noise         1               ssim  0.7645  0.7590  0.7699 900
   image  gaussian_noise         1               psnr 30.2403 30.2269 30.2556 900
   image  gaussian_noise         1        damage_ssim  0.2355  0.2301  0.2410 900
   image  gaussian_noise         2               ssim  0.5375  0.5294  0.5457 900
   image  gaussian_noise         2               psnr 24.3738 24.3558 24.3918 900
   image  gaussian_noise         2        damage_ssim  0.4625  0.4543  0.4706 900
   image  gaussian_noise         3               ssim  0.4048  0.3967  0.4130 900
   image  gaussian_noise         3               psnr 21.0005 20.9794 21.0212 900
   image  gaussian_noise         3        damage_ssim  0.5952  0.5870  0.6033 900
   image  gaussian_noise         4               ssim  0.2619  0.2549  0.2689 900
   image  gaussian_noise         4               psnr 16.8803 16.8560 16.9046 900
   image  gaussian_noise         4        damage_ssim  0.7381  0.7311  0.7451 900
   image  gaussian_noise         5               ssim  0.1616  0.1567  0.1666 900
   image  gaussian_noise         5               psnr 13.3416 13.3189 13.3649 900
   image  gaussian_noise         5        damage_ssim  0.8384  0.8334  0.8433 900
    text            mask         1 norm_edit_distance  0.1018  0.1008  0.1028 900
    text            mask         1               bleu  0.7407  0.7341  0.7470 900
    text            mask         1        damage_bleu  0.2593  0.2530  0.2659 900
    text            mask         2 norm_edit_distance  0.2061  0.2044  0.2078 900
    text            mask         2               bleu  0.5163  0.5062  0.5262 900
