model,n_text_layers,layer_index,layer_fraction,n_captions,mean_cosine_clean_vs_mask_sev2,min_cosine,max_cosine
openai_clip_b32,12,0,0.08333333333333333,24,0.9910370682676634,0.9733078479766846,0.9970719218254089
openai_clip_b32,12,1,0.16666666666666666,24,0.9883837302525839,0.9252424836158752,0.9977352619171143
openai_clip_b32,12,2,0.25,24,0.980625165005525,0.9098416566848755,0.9965420961380005
openai_clip_b32,12,3,0.3333333333333333,24,0.9591546878218651,0.8664146661758423,0.9884887933731079
openai_clip_b32,12,4,0.4166666666666667,24,0.9387031743923823,0.8519558906555176,0.9822092056274414
openai_clip_b32,12,5,0.5,24,0.9323131591081619,0.8107638359069824,0.9814025163650513
openai_clip_b32,12,6,0.5833333333333334,24,0.9264115219314893,0.7456920146942139,0.9789171814918518
openai_clip_b32,12,7,0.6666666666666666,24,0.9308240513006846,0.7707403898239136,0.9743127822875977
openai_clip_b32,12,8,0.75,24,0.9251094634334246,0.7437286376953125,0.9817291498184204
openai_clip_b32,12,9,0.8333333333333334,24,0.9348203018307686,0.7763084769248962,0.9862460494041443
openai_clip_b32,12,10,0.9166666666666666,24,0.9215855126579603,0.7274571657180786,0.9818364977836609
openai_clip_b32,12,11,1.0,24,0.8893204232056936,0.581982433795929,0.9794079065322876
openai_clip_l14,12,0,0.08333333333333333,24,0.9881178513169289,0.9668508768081665,0.9975700378417969
openai_clip_l14,12,1,0.16666666666666666,24,0.9862586533029875,0.9606804847717285,0.9971787333488464
openai_clip_l14,12,2,0.25,24,0.9727514932552973,0.8705958127975464,0.9956955909729004
openai_clip_l14,12,3,0.3333333333333333,24,0.9557333489259084,0.837981641292572,0.9944689869880676
openai_clip_l14,12,4,0.4166666666666667,24,0.9153963675101598,0.7864611744880676,0.987876832485199
openai_clip_l14,12,5,0.5,24,0.8984293043613434,0.696560800075531,0.9842804074287415
openai_clip_l14,12,6,0.5833333333333334,24,0.8903372387091318,0.6383457183837891,0.9851551055908203
openai_clip_l14,12,7,0.6666666666666666,24,0.8786501338084539,0.5677417516708374,0.9707070589065552
openai_clip_l14,12,8,0.75,24,0.8752414137125015,0.5253205299377441,0.9648679494857788
openai_clip_l14,12,9,0.8333333333333334,24,0.8852872649828593,0.5648466944694519,0.9660516977310181
openai_clip_l14,12,10,0.9166666666666666,24,0.8758350759744644,0.5156016945838928,0.9657864570617676
openai_clip_l14,12,11,1.0,24,0.8532630900541941,0.43921196460723877,0.9633961915969849
openclip_l14_laion2b,12,0,0.08333333333333333,24,0.9692468071977297,0.9191495180130005,0.9954099059104919
openclip_l14_laion2b,12,1,0.16666666666666666,24,0.9659715568025907,0.9268785715103149,0.9939725995063782
openclip_l14_laion2b,12,2,0.25,24,0.9440992549061775,0.8817590475082397,0.9856961965560913
openclip_l14_laion2b,12,3,0.3333333333333333,24,0.8984869370857874,0.7826398611068726,0.9736561179161072
openclip_l14_laion2b,12,4,0.4166666666666667,24,0.8785628030697504,0.7259448170661926,0.9664075374603271
openclip_l14_laion2b,12,5,0.5,24,0.8832705492774645,0.7305823564529419,0.9651384353637695
openclip_l14_laion2b,12,6,0.5833333333333334,24,0.8768906742334366,0.7256947755813599,0.9584620594978333
openclip_l14_laion2b,12,7,0.6666666666666666,24,0.8873835553725561,0.7298140525817871,0.9718953967094421
openclip_l14_laion2b,12,8,0.75,24,0.8901788194974264,0.703407347202301,0.9710444808006287
